iter	Passed	Remaining
578	11146	8105
579	11166	8086
580	11187	8068
581	11209	8050
582	11225	8029
583	11248	8012
584	11272	7996
585	11299	7983
586	11325	7968
587	11355	7956
588	11381	7941
589	11403	7924
590	11424	7906
591	11446	7889
592	11471	7873
593	11490	7853
594	11513	7836
595	11532	7817
596	11553	7798
597	11570	7778
598	11589	7758
599	11611	7740
600	11636	7725
601	11655	7705
602	11674	7686
603	11692	7665
604	11708	7644
605	11720	7620
606	11739	7600
607	11756	7579
608	11778	7562
609	11793	7540
610	11810	7519
611	11825	7497
612	11841	7475
613	11857	7454
614	11873	7432
615	11890	7412
616	11931	7406
617	11950	7387
618	11964	7364
619	11979	7342
620	11994	7320
621	12012	7300
622	12026	7277
623	12049	7260
624	12066	7240
625	12079	7216
626	12095	7195
627	12112	7174
628	12130	7155
629	12148	7134
630	12163	7113
631	12181	7092
632	12198	7072
633	12215	7051
634	12227	7028
635	12244	7007
636	12259	6986
637	12279	6967
638	12292	6944
639	12308	6923
640	12323	6902
641	12358	6891
642	12374	6870
643	12394	6851
644	12409	6830
645	12424	6808
646	12438	6786
647	12461	6769
648	12477	6747
649	12492	6726
650	12507	6705
651	12525	6685
652	12542	6664
653	12556	6643
654	12573	6622
655	12588	6601
656	12604	6580
657	12625	6562
658	12642	6541
659	12655	6519
660	12672	6499
661	12687	6477
662	12704	6457
663	12720	6436
664	12739	6417
665	12754	6396
666	12775	6378
667	12792	6357
668	12806	6336
669	12823	6315
670	12838	6294
671	12857	6275
672	12903	6269
673	12935	6256
674	12955	6237
675	12968	6215
676	12984	6194
677	13001	6174
678	13017	6154
679	13034	6133
680	13051	6113
681	13067	6092
682	13084	6072
683	13101	6052
684	13117	6032
685	13134	6012
686	13151	5992
687	13170	5972
688	13188	5952
689	13204	5932
690	13222	5912
691	13241	5893
692	13257	5873
693	13281	5855
694	13299	5836
695	13320	5818
696	13342	5800
697	13366	5783
698	13387	5764
699	13408	5746
700	13430	5728
701	13449	5709
702	13465	5688
703	13486	5670
704	13508	5652
705	13529	5634
706	13550	5615
707	13568	5595
708	13582	5574
709	13598	5554
710	13615	5534
711	13681	5533
712	13701	5515
713	13718	5495
714	13738	5476
715	13761	5458
716	13783	5440
717	13802	5421
718	13820	5401
719	13836	5380
720	13854	5361
721	13870	5340
722	13887	5320
723	13906	5301
724	13923	5281
725	13958	5268
726	13979	5249
727	13995	5229
728	14010	5208
729	14022	5186
730	14038	5165
731	14054	5145
732	14071	5125
733	14088	5105
734	14104	5085
735	14120	5065
736	14141	5046
737	14160	5027
738	14177	5007
739	14196	4988
740	14216	4969
741	14236	4950
742	14257	4931
743	14279	4913
744	14335	4906
745	14359	4889
746	14384	4871
747	14403	4852
748	14423	4833
749	14438	4812
750	14457	4793
751	14477	4774
752	14495	4754
753	14511	4734
754	14530	4715
755	14547	4695
756	14565	4675
757	14584	4656
758	14604	4637
759	14622	4617
760	14639	4597
761	14658	4578
762	14677	4559
763	14700	4540
764	14718	4521
765	14738	4502
766	14755	4482
767	14774	4463
768	14792	4443
769	14812	4424
770	14834	4406
771	14855	4387
772	14872	4367
773	14889	4347
774	14906	4327
775	14921	4307
776	14936	4286
777	14955	4267
778	15028	4263
779	15046	4243
780	15060	4223
781	15076	4203
782	15093	4182
783	15109	4162
784	15125	4142
785	15144	4123
786	15162	4103
787	15179	4083
788	15197	4064
789	15213	4044
790	15231	4024
791	15250	4005
792	15271	3986
793	15290	3967
794	15310	3948
795	15329	3928
796	15347	3909
797	15361	3888
798	15381	3869
799	15401	3850
800	15420	3831
801	15444	3813
802	15468	3794
803	15490	3776
804	15514	3758
805	15533	3738
806	15552	3719
807	15570	3699
808	15585	3679
809	15607	3661
810	15626	3641
811	15647	3622
812	15667	3603
813	15687	3584
814	15707	3565
815	15752	3551
816	15770	3532
817	15785	3512
818	15802	3492
819	15819	3472
820	15835	3452
821	15852	3432
822	15873	3413
823	15889	3393
824	15910	3374
825	15925	3354
826	15942	3334
827	15957	3314
828	15972	3294
829	15986	3274
830	16002	3254
831	16039	3238
832	16057	3219
833	16075	3199
834	16091	3179
835	16110	3160
836	16123	3140
837	16141	3120
838	16158	3100
839	16177	3081
840	16190	3060
841	16205	3040
842	16217	3020
843	16233	3000
844	16251	2981
845	16269	2961
846	16286	2941
847	16304	2922
848	16322	2903
849	16337	2883
850	16352	2863
851	16366	2842
852	16382	2823
853	16394	2802
854	16412	2783
855	16431	2764
856	16449	2744
857	16474	2726
858	16494	2707
859	16510	2687
860	16530	2668
861	16549	2649
862	16569	2630
863	16588	2611
864	16603	2591
865	16619	2571
866	16641	2552
867	16691	2538
868	16708	2518
869	16726	2499
870	16742	2479
871	16757	2459
872	16774	2440
873	16791	2420
874	16807	2401
875	16825	2381
876	16842	2362
877	16858	2342
878	16878	2323
879	16895	2303
880	16910	2284
881	16928	2264
882	16943	2245
